Rolle	Erwartungen	Eigenempfehlung	FUER_MICH	Fremdempfehlung	FUER_DEN_ANDEREN
Arbeitnehmer	Ich möchte berufliche Zusagen zeitlich korrekt einhalten.	Plane Pufferzeiten ein und setze realistische Zeitziele.	Du schaffst es, gut Ding will Weile haben!	Ist es wirklich wichtig die Zeit einzuhalten oder kannst Du Dich auch verspäten?	Trink ruhig erst einmal ein Glas Wasser oder schnappe kurz frische Luft!
Arbeitnehmer	Ich möchte für meine KollegInnen da sein, sie unterstützen.	Ich höre zu, wenn ich mit Kollegen sprechen.	Frag Deinen Lieblingskollegen, wie es ihm geht!	Plane bewusst Zeit für die Gespräche mit Kollegen ein, damit Du in Ruhe zuhören und für sie da sein kannst.	Ich möchte kurz mit einem netten Kollegen sprechen, der mich braucht.
Arbeitnehmer	Ich möchte meinen Job behalten, Karriere machen.	Sei nicht so hart zu Dir selbst - fokussiere Dich bei Deinen Aufgaben.	Reflektiere, was Du heute schon alles geleistet hast!	Kommuniziere an Deine Kollegen in welcher Situation Du Dich befindest und bitte um Verständnis.	Weil ich so fleißig bin freuen sich die Kollegen und mein Chef sehr.
Elternteil	Ich möchte meinen Kindern mit Geduld begegnen und für sie da sein.	Sei Dir bewusst welche Priorität Deine Kinder für Dich haben!	Deine Kinder wissen, dass Du für sie da bist wenn sie Dich brauchen!	Genieße jeden Augenblick mit Deinen Kindern, denn Du kannst die Zeit nicht zurückdrehen.	Ich freue mich schon auf die vereinbarte Aktivität heute mit Dir!
Elternteil	Ich möchte meine Kinder bei den Schulaufgaben unterstützen.	Reflektiere bei welchen Aufgaben Du gut unterstützen kannst und wo nicht.	Ich helfe heute bei den Schulaufgaben, die ich selbst spannend finde.	Teile Dir die Aufsicht der Schulaufgaben mit Deinem Partner - wer betreut welches Fach?	Ich helfe Dir gerne bei den Aufgaben, die ich gut kann!
Elternteil	Ich möchte mit meinen Kindern (draußen) spielen.	Ich plane eine feste Spielzeit in die tägliche Routine ein.	Draußen mit den Kindern wird Dir gut tun!	Was hast Du mit Deinen Kindern heute in der Natur entdeckt?	Ich freue mich heute neue Dinge mit meinen Kindern zu entdecken und selbst wieder Kind zu sein!
Partner	Ich freue mich über Komplimente von meinem Partner.	Ich gehe mit Vorbild voran und mache meinem Partner Komplimente.	Du tust Deinem Partner gut - zeig es ihm gerne.	Hast Du Deinem Partner heute schon ein Kompliment gemacht?	Ich bin so dankbar für unsere Liebe und unseren Zusammenhalt!
Partner	Ich möchte meine Ängste mit dem Partner teilen.	Beobachte Deinen Partner und höre ihm aufmerksam zu.	Wie geht es Deinem Partner heute?	Nimm Dir ganz bewusst Zeit zum reden, verabredet Euch ohne andere Unterbrechungen und Aktivitäten.	Ich freue mich zu hören wie es Dir heute geht.
Partner	Ich brauche körperliche Nähe.	Wir gehen gemeinsam ins Bett.	Genieß die Nähe Deines Partners, mehrmals am Tag.	Wie kannst Du auch tagsüber körperliche Nähe suchen?	Danke für Deine liebe Umarmung.
Me-Time	Regelmäßig meinen Lieblingssport betreiben.	Körperliche Fitness ist wichtig für mentale Ausgeglichenheit.	Mein Körper ist der Tempel meiner Seele.	Hast Du Deine tägliche Sporteinheit schon erfüllt?	Ich möchte mich bewegen, damit ich gesund bleibe.
Me-Time	Ein gutes Buch/ eine gute Lektüre lesen.	Ich lese etwas, das mich wirklich interessiert.	In Büchern liegt die Seele aller gewesenen Zeit	Lies etwas bei dem Du Dich gut fühlst und abschalten kannst.	Ich möchte heute gerne wieder in meine Bücherwelt eintauchen.
Me-Time	Mit Freunden austauschen.	Ich möchte mit meinen Freunden über meine Gefühle sprechen.	Freunde sind die, die bleiben, wenn man mal eine Zeit lang nicht wie gewohnt funktioniert!	Verabrede feste Zeiten mit Freunden und baue es in Deine Tagesroutine ein.	Meine Freundin braucht mich.
Kind	Lehrplan erfüllen trotz Schulausfall - gute Noten behalten	Mache regelmäßig meine Hausaufgaben gemäß Wochenplan aus der Schule!	Du bist fleißig, weiter so, bleib am Ball!	Teile Dir Deine Aufgaben über den Tag verteilt gut ein, damit Du konzentriert bist!	Ich brauche eine Pause, damit ich meine Aufgaben konzentriert erledigen kann.
Kind	Ich wünsche mir, dass Mama und Papa sich gut verstehen.	Ich gehe Abends rechtzeitig ins Bett, damit Mama und Papa auch noch Zeit für sich haben.	Mama und Papa haben gerade noch viel mehr zu tun, sie meinen es nicht böse.	Sage Deinen Eltern, dass Du traurig bist wenn sie sich streiten.	Ich weiß Du bist im Streß aber bitte sei lieb.
Kind	Ich möchte spielen worauf ich Lust habe.	Ich sollte nicht nur am Smartphone spielen, sondern auch draußen.	Genieß Deine Spielzeit!	Überlege einmal, was Du schon lange mal wieder machen wolltest!	Ich möchte heute wieder mein liebstes Spiel spielen.
